Environment,RewGranularity,PenGranularity,EEBA1,EEBA2,ELA1,ELA2,LELA2,LIN_SUM,ROLF_EXP_LOG1,ROLF_EXP_LOG2,SEBA1,SEBA2,SFLLA1,SFLLA2,SFMLA1,SFMLA2,TLO$^A$
Sokobanrew0.01pen10.0,0,0,-182.17,-184.59***,NA,NA,NA,-182.62,NA,NA,NA,NA,-182.22,-184.97***,NA,NA,-182.31
Sokobanrew0.01pen10.0,0,0.01,-182.31,-185.13***,NA,NA,NA,-182.67,NA,NA,NA,NA,-182.62,-184.75***,NA,NA,-182.31
Sokobanrew0.01pen10.0,0,0.1,-182.38,-184.89***,NA,NA,NA,-182.55,NA,NA,NA,NA,-182.27,-184.46***,NA,NA,-182.31
Sokobanrew0.01pen10.0,0,1,-189.02*,-184.83***,NA,NA,NA,-182.42,NA,NA,NA,NA,-188.27,-184.44***,NA,NA,-182.31
Sokobanrew0.01pen10.0,0,10,-491.75***,-491.66***,NA,NA,NA,-182.58,NA,NA,NA,NA,-491.52***,-491.65***,NA,NA,-182.31
Sokobanrew0.01pen10.0,0,100,-491.67***,-491.44***,NA,NA,NA,-182.85**,NA,NA,NA,NA,-491.56***,-491.55***,NA,NA,-182.31
Sokobanrew0.01pen10.0,0.01,0,-181.02***,-185.14***,NA,NA,NA,-182.59,NA,NA,NA,NA,-181.69***,-184.37***,NA,NA,-182.31
Sokobanrew0.01pen10.0,0.01,0.01,-181.66***,-184.71***,NA,NA,NA,-182.24,NA,NA,NA,NA,-181.92*,-184.72***,NA,NA,-182.31
Sokobanrew0.01pen10.0,0.1,0,-184.88***,-270.34***,NA,NA,NA,-182.63,NA,NA,NA,NA,-185.39***,-272.06***,NA,NA,-182.31
Sokobanrew0.01pen10.0,0.1,0.1,-189.54***,-268.64***,NA,NA,NA,-182.40,NA,NA,NA,NA,-189.64***,-275.20***,NA,NA,-182.31
Sokobanrew0.01pen10.0,1,0,-193.07***,-275.65***,NA,NA,NA,-182.44,NA,NA,NA,NA,-199.79***,-274.86***,NA,NA,-182.31
